Id,CourseName,CourseDepartment,CourseNumber,CRN,Term,Year,Enrolled,Cap,Periods,FinalSchedule,Instructor,Credits,Section
16084,MA450,MA,450,2385,20,2014,0,10,W/7/G219,,carlisle,1,1
16085,MA390,MA,390,2380,20,2014,4,25,MR/2/G219,,leader,1,2
16086,MA444,MA,444,2384,20,2014,14,25,MTRF/3/G220,,holder,4,1
16087,MA474,MA,474,2447,20,2014,0,0,TBA,,tba,4,1
16088,MA470,MA,470,2387,20,2014,2,25,TF/4/O167:TF/3/B106,,langley,4,1
16089,MA490,MA,490,2390,20,2014,2,25,MTRF/4/G308,,goulet,4,2
16090,MA490,MA,490,2389,20,2014,12,25,MTRF/8/G220,T at 6pm in TBA,shibberu,4,1
16091,MA461,MA,461,2386,20,2014,0,0,TBA,,tba,4,1
16092,MA474,MA,474,2448,20,2014,6,25,MTRF/3/G317,W at 8am in TBA,anderson,4,2
16093,MA474,MA,474,2449,20,2014,14,25,MTRF/4/G317,W at 8am in TBA,anderson,4,3
16094,MA485,MA,485,2388,20,2014,9,25,MTRF/7/G308,,inlow,4,1
16095,MA492,MA,492,2665,20,2014,1,1,TBA/TBA/TBA,,isaia,2,1
16096,MA495,MA,495,2584,20,2014,1,1,TBA/TBA/TBA,,bryan,2,1
16097,MA490,MA,490,2577,20,2014,1,1,TBA/TBA/TBA,,goulet,2,3
16098,MA497,MA,497,2557,20,2014,1,1,TBA,,finn,2,1
16099,MA497,MA,497,2631,20,2014,1,1,TBA,,finn,2,3
16100,MA497,MA,497,2562,20,2014,1,1,TBA,,holder,2,2
16101,MA495,MA,495,2624,20,2014,1,1,TBA/TBA/TBA,,holden,1,2
16102,MA497,MA,497,2667,20,2014,1,1,TBA,,bryan,2,4
16103,MA497,MA,497,2679,20,2014,1,1,TBA,,inlow,2,5
16104,ME123,ME,123,2183,20,2014,31,24,MTRF/8/G310,M at 1pm in TBA,jones5,4,1
16105,ME123,ME,123,2186,20,2014,29,24,MTRF/9/G313,M at 1pm in TBA,haan,4,4
16106,ME123,ME,123,2187,20,2014,28,24,MTRF/8/G317,M at 1pm in TBA,olson1,4,5
16107,ME123,ME,123,2184,20,2014,27,24,MTRF/9/G310,M at 1pm in TBA,jones5,4,2
16108,MDS401,MDS,401,2670,20,2014,9,10,TBA/TBA/TBA,,olson1&chiu&onyancha,1,1
16109,ME123,ME,123,2188,20,2014,28,24,MTRF/9/G317,M at 1pm in TBA,olson1,4,6
16110,ME123,ME,123,2185,20,2014,28,24,MTRF/8/G313,M at 1pm in TBA,haan,4,3
16111,ME301,ME,301,2189,20,2014,21,20,MTRF/5/G222,W at 6pm in TBA,sandersw,4,1
16112,ME301,ME,301,2190,20,2014,30,20,MTRF/6/G222,W at 6pm in TBA,sandersw,4,2
16113,ME317,ME,317,2193,20,2014,28,27,MTR/8/O259,T at 1pm in TBA,onyancha,3,3
16114,ME317,ME,317,2192,20,2014,27,27,MTR/9/O257,T at 1pm in TBA,mccormac,3,2
16115,ME321,ME,321,2197,20,2014,24,24,MTR/4-5/D101,M at 1pm in TBA,layton,4,1
16116,ME317,ME,317,2196,20,2014,26,27,MTR/9/O101,T at 1pm in TBA,stienstr,3,6
16117,ME317,ME,317,2194,20,2014,27,27,MTR/9/O259,T at 1pm in TBA,onyancha,3,4
16118,ME321,ME,321,2198,20,2014,24,24,MTR/7-8/D101,M at 1pm in TBA,layton,4,2
16119,ME317,ME,317,2195,20,2014,28,27,MTR/8/O101,T at 1pm in TBA,stienstr,3,5
16120,ME317,ME,317,2191,20,2014,28,27,MTR/8/O257,T at 1pm in TBA,mccormac,3,1
16121,ME323,ME,323,2202,20,2014,24,22,M/2/M105:W/4-6/O233,M at 8am in TBA,fine,2,3
16122,ME323,ME,323,2200,20,2014,31,22,M/5/O203-1:W/4-6/O231,M at 8am in TBA,moseley,2,1
16123,ME323,ME,323,2201,20,2014,24,22,M/1/M105:W/1-3/O233,M at 8am in TBA,fine,2,2
16124,ME328,ME,328,2206,20,2014,34,27,MTRF/2/O101,W at 1pm in TBA,bernala,4,4
16125,ME328,ME,328,2203,20,2014,30,27,MTRF/1/O203,W at 1pm in TBA,mirth,4,1
16126,ME328,ME,328,2205,20,2014,33,27,MTRF/1/O101,W at 1pm in TBA,bernala,4,3
16127,ME328,ME,328,2204,20,2014,29,27,MTRF/2/O203,W at 1pm in TBA,mirth,4,2
16128,ME321,ME,321,2199,20,2014,23,24,MTR/2-3/D101,M at 1pm in TBA,moorhead,4,3
16129,ME380,ME,380,2208,20,2014,27,24,MTRF/7/O259,M at 6pm in TBA,brackin,4,1
16130,ME421,ME,421,2211,20,2014,9,22,TF/1-2/O259:W/1-2/O167,,haan,2,2
16131,ME328,ME,328,2207,20,2014,31,27,MTRF/1/O257,W at 1pm in TBA,stienstr,4,5
16132,ME405,ME,405,2220,20,2014,20,30,MTRF/2/G222,T at 6pm in TBA,mayhew,4,1
16133,ME421,ME,421,2210,20,2014,23,22,MWR/1-2/O259,,sandersw,2,1
16134,ME393,ME,393,2209,20,2014,11,30,M/10/E104:TBA/TBA/TBA,,chambez,2,1
16135,ME421,ME,421,2212,20,2014,24,22,MTR/3-4/M103,,onyancha,2,3
16136,ME421,ME,421,2213,20,2014,24,22,MTR/7-8/M105,,bernala,2,4
16137,ME426,ME,426,2215,20,2014,37,30,MTRF/4/O157,,mech,4,1
